You cannot add a product.,Anda tidak dapat menambahkan sebuah produk,module,Magento_AdvancedCheckout,,,,
You cannot configure a product.,Anda tidak dapat mengkonfigurasi produk ini,module,Magento_AdvancedCheckout,,,,
You cannot upload this file.,Anda tidak dapat mengunggah berkas ini,module,Magento_AdvancedCheckout,,,,
You can't add this many to your cart.,Anda tidak dapat menambah ini ke tas belanja Anda,module,Magento_AdvancedCheckout,,,,
You do not have access to this.,Anda tidak memiliki akses untuk ini,module,Magento_AdvancedCheckout,,,,
You have not entered a product SKU.,Anda belum memasukkan nomer SKU,module,Magento_AdvancedCheckout,,,,
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Anda belum memasukkan nomer SKU. <a href=""%1"">Klik di sini</a> untuk menambah produk berdasarkan SKU.",module,Magento_AdvancedCheckout,,,,
You must buy at least %1 of these per purchase.,Anda harus membeli setidaknya 1% barang ini setiap pembelian.,module,Magento_AdvancedCheckout,,,,
You need to choose options for your item.,Pilih item Anda.,module,Magento_AdvancedCheckout,,,,
You removed the item.,Anda menghapus item,module,Magento_AdvancedCheckout,,,,
You removed the items.,Anda menghapus item,module,Magento_AdvancedCheckout,,,,
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns.",module,Magento_AdvancedCheckout,,,,
Entity type model '%1' is not found,Entity type model '%1' is not found,module,Magento_AdvancedPricingImportExport,,,,
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport,,,,
Please correct the data sent.,Silakan perbaiki data yang dikirim.,module,Magento_AdvancedPricingImportExport,,,,
There are no product types available for export,There are no product types available for export,module,Magento_AdvancedPricingImportExport,,,,
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,module,Magento_AdvancedRule,,,,
Index sales rule,Index sales rule,module,Magento_AdvancedSalesRule,,,,
Sales Rule,Aturan Diskon,module,Magento_AdvancedSalesRule,,,,
Action,Action,module,Magento_AdvancedSearch,,,,
Add New Search Term,Add New Search Term,module,Magento_AdvancedSearch,,,,
button_label,button_label,module,Magento_AdvancedSearch,,,,
Connection failed! Test again?,Connection failed! Test again?,module,Magento_AdvancedSearch,,,,
Edit,Ubah,module,Magento_AdvancedSearch,,,,
Enable Search Recommendations,Enable Search Recommendations,module,Magento_AdvancedSearch,,,,
Enable Search Suggestions,Enable Search Suggestions,module,Magento_AdvancedSearch,,,,
ID,ID,module,Magento_AdvancedSearch,,,,
Missing search engine parameter.,Missing search engine parameter.,module,Magento_AdvancedSearch,,,,
No,No,module,Magento_AdvancedSearch,,,,
Redirect URL,Redirect URL,module,Magento_AdvancedSearch,,,,
Related Search Terms,Penelusuran Terkait,module,Magento_AdvancedSearch,,,,
Results,Hasil,module,Magento_AdvancedSearch,,,,
Search Query,Search Query,module,Magento_AdvancedSearch,,,,
Search Recommendations Count,Search Recommendations Count,module,Magento_AdvancedSearch,,,,
Search Suggestions Count,Search Suggestions Count,module,Magento_AdvancedSearch,,,,
Show Results Count for Each Recommendation,Show Results Count for Each Recommendation,module,Magento_AdvancedSearch,,,,
Show Results Count for Each Suggestion,Show Results Count for Each Suggestion,module,Magento_AdvancedSearch,,,,
Store,Store,module,Magento_AdvancedSearch,,,,
Successful! Test again?,Successful! Test again?,module,Magento_AdvancedSearch,,,,
Suggested Term,Suggested Term,module,Magento_AdvancedSearch,,,,
Uses,Uses,module,Magento_AdvancedSearch,,,,
When you enable this option your site may slow down.,When you enable this option your site may slow down.,module,Magento_AdvancedSearch,,,,
Yes,Yes,module,Magento_AdvancedSearch,,,,
Error while checking if topic is synchronous,Error while checking if topic is synchronous,module,Magento_Amqp,,,,
Message has been rejected: %1,Message has been rejected: %1,module,Magento_Amqp,,,,
